sample.date,exp.plate,t.exp,time.hr,trt,bio.rep,veg.ml,spore.ml,cell.ml
MON21,plt1,T00,0,BUFFER,br1,3551333,1,3551334
MON21,plt1,T00,0,BUFFER,br2,3201000,1,3201001
MON21,plt1,T00,0,BUFFER,br3,3135833,1,3135834
MON21,plt1,T00,0,DSM,br1,3551333,1,3551334
MON21,plt1,T00,0,DSM,br2,3201000,1,3201001
MON21,plt1,T00,0,DSM,br3,3135833,1,3135834
MON21,plt1,T00,0,LYSATE,br1,3551333,1,3551334
MON21,plt1,T00,0,LYSATE,br2,3201000,1,3201001
MON21,plt1,T00,0,LYSATE,br3,3135833,1,3135834
MON21,plt1,T00,0,SPENT,br1,3551333,1,3551334
MON21,plt1,T00,0,SPENT,br2,3201000,1,3201001
MON21,plt1,T00,0,SPENT,br3,3135833,1,3135834
MON23,plt1,T02,2,BUFFER,br1,53324344,1,53324345
MON23,plt1,T02,2,BUFFER,br2,47357928,1,47357929
MON23,plt1,T02,2,BUFFER,br3,60661576,1,60661577
MON23,plt1,T02,2,DSM,br1,52738565,1,52738566
MON23,plt1,T02,2,DSM,br2,53093827,1,53093828
MON23,plt1,T02,2,DSM,br3,58947293,1,58947294
MON23,plt1,T02,2,LYSATE,br1,51697067,1,51697068
MON23,plt1,T02,2,LYSATE,br2,60106778,1,60106779
MON23,plt1,T02,2,LYSATE,br3,31066673,1,31066674
MON23,plt1,T02,2,SPENT,br1,55012506,1,55012507
MON23,plt1,T02,2,SPENT,br2,53002804,1,53002805
MON23,plt1,T02,2,SPENT,br3,68280085,1,68280086
TUE07,plt1,T10,10,BUFFER,br1,646072712,1,646072713
TUE07,plt1,T10,10,BUFFER,br2,278193175,1,278193176
TUE07,plt1,T10,10,BUFFER,br3,288345592,1,288345593
TUE07,plt1,T10,10,DSM,br1,298464019,1,298464020
TUE07,plt1,T10,10,DSM,br2,292413548,1,292413549
TUE07,plt1,T10,10,DSM,br3,247569939,1,247569940
TUE07,plt1,T10,10,LYSATE,br1,270685819,1,270685820
TUE07,plt1,T10,10,LYSATE,br2,130978333,1,130978334
TUE07,plt1,T10,10,LYSATE,br3,223663499,1,223663500
TUE07,plt1,T10,10,SPENT,br1,330280147,1,330280148
TUE07,plt1,T10,10,SPENT,br2,257751281,1,257751282
TUE07,plt1,T10,10,SPENT,br3,137858333,1,137858334
TUE09,plt1,T12,12,BUFFER,br1,271713563,11911938,283625501
TUE09,plt1,T12,12,BUFFER,br2,247835679,14355541,262191220
TUE09,plt1,T12,12,BUFFER,br3,373497290,70973015,444470305
TUE09,plt1,T12,12,DSM,br1,258843310,9387620,268230930
TUE09,plt1,T12,12,DSM,br2,189251175,6862175,196113350
TUE09,plt1,T12,12,DSM,br3,190310705,13791959,204102664
TUE09,plt1,T12,12,LYSATE,br1,168105238,9458152,177563390
TUE09,plt1,T12,12,LYSATE,br2,167212505,6603155,173815660
TUE09,plt1,T12,12,LYSATE,br3,176973331,14660967,191634298
TUE09,plt1,T12,12,SPENT,br1,268476765,9544496,278021261
TUE09,plt1,T12,12,SPENT,br2,221008853,8944547,229953400
TUE09,plt1,T12,12,SPENT,br3,246785652,25494838,272280490
TUE09,plt2,T00,0,BUFFER,br1,2916000,1,2916001
