Time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,F2,F3,F4,F5,F6,F7,F8,F9,F10,G2,G3,G4,G5,G6,G7,G8,G9,G10
0:00:00,0.882,0.908,0.891,0.9,0.883,0.909,0.852,0.91,0.922,0.915,0.877,0.897,0.887,0.896,0.881,0.909,0.861,0.954,0.951,0.914,0.885,0.909,0.89,0.894,0.885,0.891,0.88,0.949,0.96,0.907,0.874,0.891,0.873,0.902,0.87,0.893,0.835,0.94,0.899,0.875,0.894,0.877,0.899,0.889,0.852,0.852,0.888,0.884,0.884,0.897,0.892,0.91,0.903,0.931,0.847,0.912,0.91
0:15:00,0.91,0.928,0.915,0.92,0.909,0.923,0.871,0.926,0.92,0.949,0.903,0.922,0.906,0.917,0.901,0.919,0.864,0.91,0.912,0.934,0.913,0.93,0.908,0.915,0.909,0.912,0.855,0.913,0.918,0.937,0.896,0.914,0.895,0.923,0.896,0.917,0.857,0.907,0.905,0.9,0.919,0.899,0.921,0.914,0.877,0.874,0.907,0.907,0.906,0.921,0.917,0.937,0.932,0.943,0.871,0.93,0.937
0:30:00,0.92,0.94,0.927,0.932,0.923,0.937,0.883,0.941,0.934,0.96,0.914,0.935,0.917,0.928,0.913,0.929,0.876,0.924,0.925,0.946,0.923,0.943,0.918,0.926,0.922,0.922,0.867,0.927,0.931,0.948,0.908,0.927,0.906,0.934,0.909,0.93,0.868,0.921,0.918,0.911,0.931,0.911,0.932,0.928,0.887,0.885,0.921,0.92,0.917,0.932,0.928,0.948,0.937,0.95,0.883,0.944,0.947
0:45:00,0.923,0.945,0.931,0.937,0.927,0.942,0.888,0.946,0.936,0.968,0.918,0.94,0.922,0.934,0.92,0.933,0.882,0.928,0.93,0.949,0.927,0.949,0.924,0.932,0.928,0.927,0.872,0.932,0.936,0.952,0.912,0.932,0.911,0.939,0.913,0.937,0.873,0.926,0.923,0.915,0.936,0.915,0.937,0.932,0.892,0.887,0.925,0.924,0.92,0.936,0.931,0.952,0.941,0.954,0.888,0.948,0.945
1:00:00,0.925,0.947,0.933,0.94,0.93,0.943,0.89,0.947,0.937,0.967,0.92,0.941,0.924,0.936,0.921,0.935,0.884,0.929,0.931,0.95,0.928,0.953,0.926,0.936,0.93,0.93,0.874,0.933,0.938,0.954,0.914,0.935,0.913,0.942,0.915,0.938,0.875,0.927,0.924,0.917,0.939,0.917,0.94,0.935,0.894,0.888,0.927,0.926,0.921,0.938,0.933,0.955,0.944,0.956,0.89,0.949,0.946
1:15:00,0.93,0.949,0.933,0.942,0.93,0.944,0.891,0.948,0.938,0.967,0.92,0.944,0.925,0.938,0.922,0.936,0.886,0.93,0.932,0.951,0.929,0.956,0.927,0.938,0.931,0.932,0.875,0.934,0.939,0.954,0.915,0.936,0.913,0.944,0.917,0.939,0.877,0.928,0.925,0.918,0.939,0.918,0.942,0.937,0.896,0.889,0.927,0.927,0.922,0.939,0.933,0.956,0.945,0.959,0.891,0.95,0.947
1:30:00,0.965,0.95,0.934,0.944,0.93,0.944,0.892,0.949,0.94,0.968,0.921,0.948,0.926,0.94,0.922,0.937,0.887,0.93,0.933,0.951,0.929,0.959,0.928,0.941,0.931,0.934,0.875,0.934,0.941,0.954,0.916,0.936,0.913,0.945,0.917,0.938,0.877,0.929,0.925,0.918,0.94,0.917,0.944,0.939,0.897,0.889,0.928,0.927,0.921,0.94,0.933,0.957,0.947,0.96,0.892,0.95,0.948
1:45:00,0.925,0.952,0.934,0.946,0.93,0.945,0.893,0.95,0.942,0.968,0.921,0.949,0.927,0.942,0.923,0.939,0.889,0.931,0.934,0.951,0.929,0.961,0.928,0.943,0.932,0.936,0.875,0.934,0.942,0.954,0.916,0.937,0.912,0.948,0.918,0.939,0.878,0.929,0.925,0.919,0.94,0.917,0.946,0.941,0.898,0.89,0.928,0.928,0.921,0.94,0.932,0.958,0.949,0.963,0.893,0.95,0.948
2:00:00,0.926,0.955,0.935,0.948,0.931,0.947,0.895,0.951,0.945,0.968,0.921,0.952,0.928,0.944,0.923,0.94,0.89,0.932,0.936,0.951,0.93,0.965,0.929,0.946,0.933,0.939,0.876,0.934,0.945,0.954,0.917,0.938,0.912,0.951,0.919,0.94,0.879,0.93,0.926,0.92,0.941,0.916,0.949,0.944,0.9,0.892,0.929,0.928,0.922,0.942,0.932,0.959,0.952,0.967,0.895,0.952,0.95
2:15:00,0.927,0.957,0.936,0.951,0.931,0.948,0.898,0.952,0.947,0.968,0.921,0.956,0.929,0.947,0.924,0.943,0.893,0.933,0.938,0.951,0.93,0.969,0.931,0.95,0.934,0.942,0.877,0.934,0.947,0.954,0.918,0.939,0.912,0.954,0.92,0.94,0.88,0.93,0.926,0.921,0.943,0.916,0.953,0.946,0.902,0.893,0.929,0.929,0.922,0.943,0.931,0.961,0.955,0.97,0.897,0.953,0.951
2:30:00,0.927,0.96,0.937,0.956,0.932,0.95,0.902,0.954,0.951,0.967,0.922,0.959,0.93,0.951,0.925,0.945,0.895,0.934,0.939,0.951,0.931,0.973,0.933,0.955,0.935,0.947,0.878,0.935,0.951,0.954,0.919,0.941,0.911,0.959,0.921,0.941,0.882,0.932,0.927,0.922,0.944,0.915,0.957,0.949,0.905,0.895,0.93,0.93,0.923,0.945,0.931,0.964,0.958,0.975,0.899,0.955,0.953
2:45:00,0.929,0.964,0.94,0.96,0.934,0.953,0.906,0.956,0.956,0.967,0.922,0.967,0.932,0.955,0.927,0.948,0.899,0.936,0.942,0.951,0.932,0.979,0.936,0.961,0.937,0.952,0.88,0.936,0.955,0.954,0.921,0.943,0.911,0.964,0.922,0.942,0.884,0.933,0.928,0.924,0.946,0.915,0.962,0.953,0.908,0.897,0.931,0.931,0.924,0.948,0.93,0.967,0.963,0.979,0.903,0.957,0.955
