 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,177,66.446,61,72,11761.000,11761.000
2,177,69.192,65,76,12247.000,12247.000
3,177,69.723,63,75,12341.000,12341.000
4,177,68.379,64,73,12103.000,12103.000
5,177,64.554,60,70,11426.000,11426.000
6,177,58.910,48,63,10427.000,10427.000
7,177,72.299,67,77,12797.000,12797.000
8,177,74.859,70,80,13250.000,13250.000
9,177,74.853,70,80,13249.000,13249.000
10,177,72.192,65,77,12778.000,12778.000
11,177,67.994,61,74,12035.000,12035.000
12,177,64.480,58,69,11413.000,11413.000
13,177,77.486,72,82,13715.000,13715.000
14,177,78.814,73,83,13950.000,13950.000
15,177,77.876,72,81,13784.000,13784.000
16,177,75.294,69,81,13327.000,13327.000
17,177,71.045,64,76,12575.000,12575.000
18,177,67.339,60,74,11919.000,11919.000
19,177,80.169,75,85,14190.000,14190.000
20,177,81.644,73,88,14451.000,14451.000
21,177,80.390,75,85,14229.000,14229.000
22,177,77.921,71,82,13792.000,13792.000
23,177,74.311,70,80,13153.000,13153.000
24,177,69.627,61,97,12324.000,12324.000
25,177,80.695,75,86,14283.000,14283.000
26,177,83.418,78,89,14765.000,14765.000
27,177,81.944,78,87,14504.000,14504.000
28,177,79.271,75,85,14031.000,14031.000
29,177,75.006,70,81,13276.000,13276.000
30,177,71.695,66,76,12690.000,12690.000
31,177,80.232,77,85,14201.000,14201.000
32,177,82.316,78,89,14570.000,14570.000
33,177,82.621,79,87,14624.000,14624.000
34,177,79.480,73,84,14068.000,14068.000
35,177,74.977,70,80,13271.000,13271.000
36,177,70.401,68,75,12461.000,12461.000
37,177,47.339,43,54,8379.000,8379.000
38,177,59.220,56,66,10482.000,10482.000
39,177,64.819,61,70,11473.000,11473.000
