Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,255,255,255,65280,65280
2,256,255,255,255,65280,65280
3,256,251.016,0,255,64260,64260
4,256,255,255,255,65280,65280
5,256,255,255,255,65280,65280
6,256,231.094,0,255,59160,59160
7,256,247.031,0,255,63240,63240
8,256,255,255,255,65280,65280
9,256,255,255,255,65280,65280
10,256,255,255,255,65280,65280
11,256,255,255,255,65280,65280
12,256,255,255,255,65280,65280
13,256,255,255,255,65280,65280
14,256,255,255,255,65280,65280
15,256,255,255,255,65280,65280
16,256,255,255,255,65280,65280
17,256,253.008,0,255,64770,64770
18,256,255,255,255,65280,65280
19,256,255,255,255,65280,65280
20,256,255,255,255,65280,65280
21,256,255,255,255,65280,65280
22,256,255,255,255,65280,65280
23,256,255,255,255,65280,65280
24,256,252.012,0,255,64515,64515
25,256,255,255,255,65280,65280
26,256,255,255,255,65280,65280
27,256,255,255,255,65280,65280
28,256,255,255,255,65280,65280
29,256,255,255,255,65280,65280
30,256,255,255,255,65280,65280
31,256,130.488,0,255,33405,33405
32,256,72.715,0,255,18615,18615
33,256,152.402,0,255,39015,39015
34,256,137.461,0,255,35190,35190
35,256,137.461,0,255,35190,35190
36,256,63.75,0,255,16320,16320
