Sample_ID,Area,Mean,Min,Max,IntDen,RawIntDen
1,256,200.215,0,255,51255,51255
2,256,197.227,0,255,50490,50490
3,256,193.242,0,255,49470,49470
4,256,196.23,0,255,50235,50235
5,256,201.211,0,255,51510,51510
6,256,81.68,0,255,20910,20910
7,256,201.211,0,255,51510,51510
8,256,229.102,0,255,58650,58650
9,256,234.082,0,255,59925,59925
10,256,226.113,0,255,57885,57885
11,256,208.184,0,255,53295,53295
12,256,177.305,0,255,45390,45390
13,256,215.156,0,255,55080,55080
14,256,231.094,0,255,59160,59160
15,256,226.113,0,255,57885,57885
16,256,227.109,0,255,58140,58140
17,256,208.184,0,255,53295,53295
18,256,251.016,0,255,64260,64260
19,256,197.227,0,255,50490,50490
20,256,207.188,0,255,53040,53040
21,256,222.129,0,255,56865,56865
22,256,208.184,0,255,53295,53295
23,256,216.152,0,255,55335,55335
24,256,230.098,0,255,58905,58905
25,256,194.238,0,255,49725,49725
26,256,211.172,0,255,54060,54060
27,256,210.176,0,255,53805,53805
28,256,201.211,0,255,51510,51510
29,256,215.156,0,255,55080,55080
30,256,235.078,0,255,60180,60180
31,256,0,0,0,0,0
32,256,0,0,0,0,0
33,256,0,0,0,0,0
34,256,0,0,0,0,0
35,256,0,0,0,0,0
36,256,0,0,0,0,0
