Time,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:12:25,37,0.087,0.088,0.09,0.089,0.093,0.09,0.091,0.088,0.09,0.113,0.083,0.084,0.084,0.083,0.084,0.083,0.083,0.084,0.083,0.083,0.084,0.083,0.084,0.084,0.086,0.083,0.083,0.082,0.084,0.083,0.083,0.083,0.082,0.083,0.087,0.083,0.114,0.089,0.089,0.115,0.089,0.088,0.088,0.088,0.088,0.09,0.084,0.087,0.084,0.084,0.083,0.083,0.082,0.083,0.082,0.083,0.084,0.086,0.085,0.086,0.086,0.084,0.085,0.083,0.082,0.083,0.085,0.083,0.083,0.089,0.088,0.089,0.089,0.089,0.088,0.106,0.088,0.089,0.106,0.089,0.089,0.107,0.084,0.086,0.084,0.084,0.086,0.084,0.084,0.084,0.084,0.084,0.083,0.084,0.084,0.085
0:27:25,37,0.087,0.088,0.089,0.088,0.09,0.089,0.09,0.088,0.092,0.114,0.083,0.084,0.084,0.083,0.084,0.083,0.083,0.084,0.083,0.084,0.084,0.083,0.085,0.084,0.086,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.083,0.087,0.084,0.115,0.089,0.089,0.118,0.088,0.088,0.088,0.088,0.088,0.09,0.084,0.087,0.085,0.083,0.082,0.082,0.082,0.083,0.082,0.083,0.085,0.086,0.085,0.086,0.085,0.084,0.084,0.082,0.082,0.083,0.085,0.083,0.084,0.088,0.088,0.09,0.089,0.089,0.088,0.107,0.088,0.089,0.106,0.089,0.088,0.107,0.084,0.086,0.084,0.084,0.085,0.084,0.084,0.084,0.084,0.083,0.083,0.084,0.084,0.085
0:42:25,37,0.087,0.088,0.088,0.088,0.09,0.089,0.09,0.088,0.092,0.115,0.083,0.084,0.084,0.083,0.084,0.083,0.083,0.084,0.084,0.084,0.085,0.084,0.085,0.084,0.086,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.083,0.087,0.084,0.118,0.089,0.088,0.121,0.088,0.088,0.089,0.088,0.088,0.091,0.085,0.087,0.085,0.083,0.082,0.082,0.081,0.083,0.082,0.083,0.085,0.086,0.085,0.086,0.085,0.084,0.084,0.082,0.082,0.083,0.085,0.083,0.084,0.089,0.089,0.09,0.09,0.089,0.088,0.108,0.088,0.088,0.107,0.088,0.088,0.108,0.084,0.085,0.084,0.084,0.086,0.084,0.084,0.084,0.083,0.083,0.084,0.083,0.084,0.086
0:57:25,37,0.087,0.088,0.088,0.089,0.089,0.089,0.091,0.088,0.092,0.117,0.084,0.084,0.084,0.084,0.084,0.083,0.083,0.084,0.084,0.084,0.085,0.084,0.085,0.085,0.086,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.084,0.087,0.085,0.121,0.089,0.088,0.125,0.088,0.088,0.091,0.088,0.088,0.09,0.086,0.087,0.085,0.083,0.082,0.082,0.082,0.083,0.082,0.083,0.085,0.086,0.085,0.087,0.086,0.084,0.084,0.082,0.082,0.083,0.085,0.083,0.084,0.089,0.089,0.09,0.093,0.089,0.088,0.109,0.088,0.088,0.108,0.088,0.088,0.11,0.084,0.086,0.084,0.084,0.086,0.084,0.084,0.085,0.084,0.083,0.084,0.084,0.084,0.086
1:12:25,37.1,0.087,0.088,0.088,0.09,0.09,0.089,0.092,0.088,0.092,0.121,0.084,0.084,0.084,0.084,0.084,0.083,0.083,0.084,0.085,0.085,0.086,0.085,0.086,0.085,0.086,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.084,0.087,0.086,0.124,0.089,0.089,0.131,0.088,0.088,0.094,0.088,0.088,0.092,0.086,0.087,0.086,0.083,0.082,0.082,0.082,0.083,0.082,0.083,0.085,0.087,0.086,0.087,0.086,0.084,0.084,0.082,0.082,0.083,0.085,0.084,0.085,0.09,0.09,0.09,0.093,0.089,0.088,0.113,0.088,0.089,0.109,0.089,0.089,0.113,0.084,0.086,0.084,0.084,0.086,0.084,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.086
1:27:25,37,0.087,0.088,0.088,0.092,0.09,0.089,0.094,0.088,0.092,0.124,0.084,0.084,0.085,0.084,0.084,0.083,0.083,0.085,0.085,0.085,0.086,0.085,0.086,0.085,0.087,0.084,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.084,0.088,0.085,0.127,0.089,0.089,0.137,0.088,0.088,0.098,0.088,0.088,0.094,0.085,0.087,0.086,0.083,0.083,0.082,0.082,0.083,0.082,0.084,0.086,0.087,0.086,0.087,0.086,0.084,0.084,0.082,0.082,0.083,0.086,0.084,0.085,0.09,0.09,0.09,0.095,0.089,0.088,0.117,0.088,0.089,0.112,0.088,0.089,0.117,0.084,0.086,0.084,0.084,0.086,0.084,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.086
1:42:25,37.1,0.087,0.088,0.088,0.095,0.09,0.089,0.096,0.088,0.092,0.129,0.084,0.088,0.084,0.084,0.084,0.083,0.084,0.085,0.085,0.085,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.082,0.083,0.092,0.083,0.083,0.082,0.084,0.088,0.084,0.132,0.089,0.089,0.143,0.088,0.088,0.104,0.088,0.088,0.097,0.086,0.087,0.086,0.083,0.083,0.082,0.082,0.083,0.082,0.084,0.086,0.087,0.086,0.087,0.086,0.084,0.084,0.082,0.082,0.083,0.086,0.084,0.085,0.09,0.09,0.09,0.099,0.089,0.088,0.124,0.088,0.088,0.115,0.088,0.088,0.125,0.084,0.085,0.084,0.084,0.086,0.085,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.086
1:57:25,37,0.087,0.088,0.088,0.1,0.09,0.089,0.1,0.088,0.092,0.136,0.083,0.086,0.085,0.084,0.084,0.083,0.084,0.085,0.086,0.086,0.087,0.085,0.086,0.085,0.087,0.083,0.083,0.082,0.083,0.083,0.083,0.083,0.082,0.085,0.088,0.085,0.14,0.089,0.088,0.157,0.088,0.088,0.113,0.088,0.088,0.102,0.086,0.087,0.086,0.084,0.082,0.082,0.082,0.083,0.082,0.084,0.086,0.087,0.087,0.087,0.086,0.084,0.084,0.082,0.082,0.083,0.086,0.084,0.085,0.09,0.091,0.09,0.104,0.089,0.088,0.134,0.088,0.088,0.12,0.088,0.088,0.136,0.084,0.085,0.084,0.084,0.087,0.084,0.086,0.085,0.084,0.084,0.084,0.084,0.084,0.085
2:12:25,37,0.087,0.088,0.088,0.106,0.09,0.089,0.106,0.088,0.092,0.145,0.083,0.088,0.085,0.084,0.084,0.083,0.084,0.085,0.086,0.086,0.087,0.086,0.087,0.085,0.087,0.084,0.083,0.082,0.083,0.088,0.083,0.083,0.082,0.085,0.088,0.084,0.15,0.089,0.088,0.168,0.088,0.088,0.124,0.088,0.088,0.112,0.086,0.088,0.086,0.084,0.083,0.082,0.082,0.083,0.083,0.084,0.086,0.087,0.087,0.088,0.087,0.084,0.084,0.082,0.082,0.084,0.087,0.085,0.085,0.09,0.091,0.09,0.112,0.089,0.088,0.149,0.088,0.089,0.129,0.089,0.089,0.143,0.084,0.085,0.084,0.084,0.087,0.085,0.086,0.086,0.085,0.085,0.084,0.084,0.084,0.086
2:27:25,37,0.087,0.088,0.088,0.115,0.09,0.089,0.113,0.088,0.091,0.161,0.083,0.087,0.085,0.085,0.084,0.083,0.084,0.086,0.086,0.087,0.088,0.086,0.087,0.085,0.088,0.084,0.083,0.082,0.083,0.091,0.083,0.083,0.082,0.085,0.088,0.084,0.164,0.089,0.089,0.179,0.088,0.088,0.138,0.088,0.088,0.125,0.087,0.088,0.086,0.084,0.083,0.083,0.082,0.084,0.083,0.084,0.086,0.087,0.087,0.088,0.087,0.084,0.084,0.082,0.082,0.084,0.087,0.086,0.086,0.09,0.091,0.091,0.126,0.089,0.088,0.166,0.088,0.088,0.146,0.088,0.088,0.161,0.084,0.085,0.084,0.085,0.087,0.085,0.086,0.086,0.085,0.084,0.084,0.084,0.084,0.086
