"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
0	"nm"	1	1	"B2"	2	"NM_g0_pop1_rep1"	"B2"	0.9469	0.00567	0.866	0.00807	0.1632	0.00557	7.1226	0.11693	0.028	1.946	0	0
20	"nm"	1	1	"B3"	3	"NM_g133_pop1_rep1"	"B3"	0.9654	0.00688	0.5992	0.01259	0.1035	0.00521	5.0786	0.19334	0.0269	2.034	0	133
40	"nm"	1	1	"B4"	4	"NM_g266_pop1_rep1"	"B4"	0.9483	0.0066	0.7471	0.02246	0.1071	0.00506	6.0623	0.18938	0.0277	2.113	0	266
60	"nm"	1	1	"B5"	5	"NM_g399_pop1_rep1"	"B5"	0.957	0.00831	0.941	0.04211	0.1177	0.00513	5.1939	0.19222	0.0303	2.211	0	399
100	"nm"	1	1	"B6"	6	"NM_g666_pop1_rep1"	"B6"	0.946	0.00688	0.6093	0.00834	0.1675	0.00932	5.7419	0.14413	0.0308	2.278	0	666
140	"nm"	1	1	"B7"	7	"NM_g932_pop1_rep1"	"B7"	0.9569	0.00939	0.751	0.01186	0.1402	0.00734	4.834	0.18968	0.0371	2.555	0	932
200	"nm"	1	1	"B8"	8	"NM_g1331_pop1_rep1"	"B8"	0.8953	0.01475	0.7208	0.01896	0.1277	0.01139	4.0878	0.32045	0.0526	3.784	0	1331
240	"nm"	1	1	"B9"	9	"NM_g1598_pop1_rep1"	"B9"	0.9599	0.00569	0.6949	0.01032	0.1463	0.0058	4.8851	0.11916	0.0228	1.762	0	1598
280	"nm"	1	1	"B10"	10	"NM_g1864_pop1_rep1"	"B10"	0.9223	0.01899	0.8651	0.02731	0.0973	0.00639	3.1605	0.40186	0.0541	3.65	0	1864
1000	"jcvi"	1	1	"B11"	11	"NM_jcvi_pop1_rep1"	"B11"	0.9862	0.00615	0.9011	0.01027	0.1339	0.00468	7.7007	0.14766	0.031	2.141	0	6657
0	"nm"	2	1	"C2"	12	"NM_g0_pop1_rep2"	"C2"	0.9367	0.00613	0.8647	0.0092	0.1463	0.00535	7.1279	0.13588	0.0301	2.128	0	0
20	"nm"	2	1	"C3"	13	"NM_g133_pop1_rep2"	"C3"	0.9558	0.00766	0.5946	0.01478	0.0863	0.0041	4.3073	0.22439	0.0261	1.993	0	133
40	"nm"	2	1	"C4"	14	"NM_g266_pop1_rep2"	"C4"	0.9386	0.00643	0.7984	0.0253	0.1106	0.00476	5.9696	0.17335	0.0268	2.043	0	266
60	"nm"	2	1	"C5"	15	"NM_g399_pop1_rep2"	"C5"	0.9469	0.0079	0.906	0.03607	0.1008	0.00372	4.8487	0.19151	0.0272	2.008	0	399
100	"nm"	2	1	"C6"	16	"NM_g666_pop1_rep2"	"C6"	0.9377	0.00925	0.6273	0.01127	0.1743	0.01331	5.7196	0.19106	0.0413	3.044	0	666
140	"nm"	2	1	"C7"	17	"NM_g932_pop1_rep2"	"C7"	0.9518	0.01032	0.7265	0.01311	0.1487	0.00993	5.2097	0.2146	0.043	3.008	0	932
200	"nm"	2	1	"C8"	18	"NM_g1331_pop1_rep2"	"C8"	0.8903	0.01199	0.7378	0.01559	0.1214	0.00797	4.2971	0.25758	0.0443	3.207	0	1331
240	"nm"	2	1	"C9"	19	"NM_g1598_pop1_rep2"	"C9"	0.9458	0.00575	0.6974	0.01162	0.1511	0.00665	5.6785	0.12538	0.0252	2.018	0	1598
280	"nm"	2	1	"C10"	20	"NM_g1864_pop1_rep2"	"C10"	0.9316	0.01837	0.7857	0.02599	0.1173	0.01238	4.1084	0.42105	0.0651	4.493	0	1864
1000	"jcvi"	2	1	"C11"	21	"NM_jcvi_pop1_rep3"	"C11"	0.97	0.00534	0.8411	0.00878	0.1534	0.00566	9.131	0.12916	0.0301	2.193	0	6657
0	"nm"	3	1	"D2"	22	"NM_g0_pop1_rep3"	"D2"	0.9467	0.00627	0.8728	0.00957	0.1504	0.00578	7.482	0.13995	0.0317	2.231	0	0
20	"nm"	3	1	"D3"	23	"NM_g133_pop1_rep3"	"D3"	0.9801	0.01035	0.6293	0.01221	0.1412	0.00904	4.7184	0.21745	0.0401	2.836	0	133
40	"nm"	3	1	"D4"	24	"NM_g266_pop1_rep3"	"D4"	0.943	0.00742	0.8092	0.02961	0.1087	0.00525	5.8521	0.20353	0.0298	2.261	0	266
60	"nm"	3	1	"D5"	25	"NM_g399_pop1_rep3"	"D5"	0.9569	0.01384	0.8821	0.01949	0.1276	0.00819	4.9963	0.29466	0.0531	3.539	0	399
100	"nm"	3	1	"D6"	26	"NM_g666_pop1_rep3"	"D6"	0.9397	0.00816	0.7066	0.01044	0.1421	0.0077	5.2298	0.17284	0.0344	2.456	0	666
140	"nm"	3	1	"D7"	27	"NM_g932_pop1_rep3"	"D7"	0.9424	0.01462	0.7349	0.01845	0.1345	0.01135	4.2176	0.30566	0.0526	3.641	0	932
200	"nm"	3	1	"D8"	28	"NM_g1331_pop1_rep3"	"D8"	0.8694	0.01052	0.7566	0.01559	0.097	0.00526	4.5339	0.25552	0.0402	3.015	0	1331
240	"nm"	3	1	"D9"	29	"NM_g1598_pop1_rep3"	"D9"	0.9457	0.00494	0.6537	0.00908	0.1574	0.00645	5.6333	0.10605	0.0219	1.759	0	1598
280	"nm"	3	1	"D10"	30	"NM_g1864_pop1_rep3"	"D10"	0.9377	0.01857	0.7789	0.0257	0.1168	0.01205	3.7903	0.41537	0.0627	4.29	0	1864
1000	"jcvi"	3	1	"D11"	31	"NM_jcvi_pop1_rep2"	"D11"	0.9722	0.00572	0.8406	0.00941	0.1478	0.0057	8.9273	0.14095	0.0317	2.299	0	6657
10	"nm"	1	1	"E2"	32	"NM_g66_pop1_rep1"	"E2"	0.9267	0.00552	0.751	0.01049	0.0819	0.00255	6.3158	0.17695	0.0238	1.817	0	67
30	"nm"	1	1	"E3"	33	"NM_g200_pop1_rep1"	"E3"	0.9599	0.00776	0.6078	0.01007	0.1291	0.00816	6.3825	0.21115	0.0352	2.644	0	200
